DateTime,MacAddress,Station,WriteMac,UploadFW,USB,LightSensor,SpeakerMic,ImageSensor,ErrCode,ErrMessage,Judged
2018/08/20 14:18:14,A4F4C2909091,PCBA-LAYER3,NONE,NONE,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 14:20:49,A4F4C2909091,PCBA-LAYER3,X,X,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 14:21:19,A4F4C2909091,PCBA-LAYER3,X,X,PASS,FAIL,NONE,NONE,-,-,FAIL
2018/08/20 14:22:32,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 14:24:19,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 14:30:49,A4F4C2989898,PCBA-LAYER3,PASS,PASS,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 14:36:55,A4F4C2909091,PCBA-LAYER3,PASS,PASS,PASS,FAIL,NONE,NONE,-,-,FAIL
2018/08/20 15:15:06,A4F4C2909091,PCBA-LAYER3,X,X,FAIL,NONE,NONE,NONE,-,-,FAIL
2018/08/20 15:16:39,A4F4C2909090,PCBA-LAYER3,X,X,PASS,PASS,PASS,NONE,-,-,FAIL
2018/08/20 15:17:43,A4F4C2909091,PCBA-LAYER3,X,X,FAIL,NONE,NONE,NONE,-,-,FAIL
2018/08/20 15:22:10,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 15:27:17,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 15:29:49,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 15:32:12,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 15:34:55,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 16:12:12,A4F4C2909091,PCBA-LAYER3,X,X,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 16:13:22,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 17:09:31,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,NONE,-,-,FAIL
2018/08/20 17:10:06,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:10:16,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:10:22,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:10:28,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:10:44,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:10:47,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:10:50,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:11:16,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:11:24,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:11:27,A4F4C2909091,PCBA-LAYER3,X,X,PASS,X,X,X,-,-,PASS
2018/08/20 17:14:19,A4F4C2909091,PCBA-LAYER3,X,X,X,PASS,X,X,-,-,PASS
2018/08/20 17:15:06,A4F4C2909091,PCBA-LAYER3,X,X,X,PASS,X,X,-,-,PASS
2018/08/20 17:15:17,A4F4C2909091,PCBA-LAYER3,X,X,X,PASS,X,X,-,-,PASS
2018/08/20 17:15:21,A4F4C2909091,PCBA-LAYER3,X,X,X,PASS,X,X,-,-,PASS
2018/08/20 17:15:32,A4F4C2909091,PCBA-LAYER3,X,X,X,PASS,X,X,-,-,PASS
2018/08/20 17:16:12,A4F4C2909091,PCBA-LAYER3,X,X,X,PASS,X,X,-,-,PASS
2018/08/20 17:16:30,A4F4C2909091,PCBA-LAYER3,X,X,X,PASS,X,X,-,-,PASS
2018/08/20 17:19:33,A4F4C2909091,PCBA-LAYER3,X,X,X,X,PASS,X,-,-,PASS
2018/08/20 17:20:52,A4F4C2909091,PCBA-LAYER3,X,X,X,X,FAIL,X,-,-,FAIL
2018/08/20 17:22:05,A4F4C2909091,PCBA-LAYER3,X,X,X,X,PASS,X,-,-,PASS
2018/08/20 17:23:06,A4F4C2909091,PCBA-LAYER3,X,X,X,X,FAIL,X,-,-,FAIL
2018/08/20 17:23:41,A4F4C2909091,PCBA-LAYER3,X,X,X,X,PASS,X,-,-,PASS
2018/08/20 17:24:46,A4F4C2909091,PCBA-LAYER3,X,X,X,X,PASS,X,-,-,PASS
2018/08/20 17:25:51,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,NONE,-,-,FAIL
2018/08/20 17:28:27,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 17:30:13,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 17:31:47,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 17:33:24,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 17:35:10, A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 17:36:25,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 17:37:01,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 17:37:36,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 17:38:26,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 17:39:00,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 17:41:58,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,FAIL,-,-,FAIL
2018/08/20 17:42:40,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 17:43:13,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
